date,ILITOTAL,value_pathogen_RSV_Region_3_Negatives_Value,value_pathogen_RSV_Region_10_Negatives_Value
2019-07-06,8549.0,433,400
2019-07-13,8422.0,477,392
2019-07-20,8111.0,416,359
2019-07-27,7755.0,425,299
2019-08-03,7874.0,414,363
2019-08-10,8038.0,447,270
2019-08-17,8987.0,411,266
2019-08-24,10096.0,426,267
2019-08-31,11817.0,486,287
2019-09-07,13158.0,576,309
2019-09-14,14831.0,688,446
2019-09-21,15977.0,779,544
2019-09-28,17414.0,803,1073
2019-10-05,21915.0,884,1387
2019-10-12,22953.0,919,1853
2019-10-19,24857.0,997,1739
2019-10-26,27419.0,1128,1710
2019-11-02,28910.0,1115,1802
2019-11-09,34586.0,1174,1824
2019-11-16,37728.0,1366,1885
2019-11-23,44148.0,1394,2055
2019-11-30,43817.0,1254,2138
2019-12-07,48877.0,1384,2694
2019-12-14,56444.0,1496,3381
2019-12-21,71584.0,1545,4112
2019-12-28,95757.0,1771,4099
2020-01-04,88681.0,1796,4255
2020-01-11,75585.0,1891,3780
2020-01-18,79746.0,1960,3449
2020-01-25,90072.0,2139,3570
2020-02-01,108307.0,2395,3494
2020-02-08,111289.0,2275,3323
2020-02-15,95418.0,2308,3259
2020-02-22,79832.0,2040,3072
2020-02-29,74809.0,2194,3795
2020-03-07,78779.0,2210,4969
2020-03-14,89571.0,3425,6301
2020-03-21,78584.0,4257,4416
2020-03-28,53142.0,3195,3560
2020-04-04,36251.0,1712,2277
2020-04-11,24974.0,828,1708
2020-04-18,18265.0,621,1142
2020-04-25,15164.0,480,1050
2020-05-02,12817.0,363,751
2020-05-09,11066.0,315,682
2020-05-16,10480.0,324,615
2020-05-23,11735.0,405,496
2020-05-30,9614.0,310,400
2020-06-06,9325.0,314,393
2020-06-13,9580.0,344,334
2020-06-20,11866.0,280,350
2020-06-27,15499.0,297,281
2020-07-04,17843.0,340,318
2020-07-11,20046.0,370,330
2020-07-18,19260.0,333,308
2020-07-25,16533.0,394,215
2020-08-01,15524.0,323,218
2020-08-08,14117.0,345,181
2020-08-15,13193.0,380,231
2020-08-22,12952.0,329,286
2020-08-29,13159.0,341,240
2020-09-05,12316.0,393,210
2020-09-12,13035.0,404,234
2020-09-19,13049.0,474,357
2020-09-26,14586.0,520,387
2020-10-03,16466.0,677,570
2020-10-10,19144.0,653,775
2020-10-17,17235.0,635,791
2020-10-24,18133.0,683,903
2020-10-31,18554.0,716,993
2020-11-07,21370.0,782,1599
2020-11-14,22598.0,933,2130
2020-11-21,22709.0,928,2747
2020-11-28,21313.0,973,2612
2020-12-05,22251.0,1124,3018
2020-12-12,22103.0,1234,2741
2020-12-19,20874.0,994,2643
2020-12-26,19836.0,977,2485
2021-01-02,22423.0,1107,2740
2021-01-09,22711.0,1152,2829
2021-01-16,19018.0,1043,2728
2021-01-23,18350.0,1035,2602
2021-01-30,16896.0,979,2748
2021-02-06,16098.0,998,2706
2021-02-13,14079.0,800,1565
2021-02-20,12591.0,773,2272
2021-02-27,13344.0,1009,2304
2021-03-06,13000.0,1051,2150
2021-03-13,14077.0,877,1991
2021-03-20,14574.0,1518,1894
2021-03-27,15354.0,1449,2101
2021-04-03,15993.0,1975,2024
2021-04-10,18100.0,994,2043
2021-04-17,19165.0,1083,2175
2021-04-24,19305.0,978,2373
2021-05-01,20099.0,962,2190
2021-05-08,19930.0,954,2177
2021-05-15,20367.0,827,2212
2021-05-22,21262.0,904,2024
2021-05-29,19675.0,848,1650
2021-06-05,20143.0,880,1857
2021-06-12,19182.0,873,1666
2021-06-19,19579.0,1126,1696
2021-06-26,19890.0,1032,1654
2021-07-03,20092.0,825,1003
2021-07-10,22371.0,821,1663
2021-07-17,25261.0,839,1711
2021-07-24,30545.0,994,1890
2021-07-31,35195.0,1062,2249
2021-08-07,37756.0,1014,2546
2021-08-14,40067.0,1057,2601
2021-08-21,42721.0,1111,2774
2021-08-28,43058.0,1198,2625
2021-09-04,40864.0,1197,2664
2021-09-11,39421.0,1286,2646
2021-09-18,36193.0,1444,2988
2021-09-25,33976.0,1417,3309
2021-10-02,29949.0,1520,3185
2021-10-09,39535.0,1684,3321
2021-10-16,37638.0,1653,3977
2021-10-23,35714.0,1863,3823
2021-10-30,36639.0,1227,3761
2021-11-06,40030.0,1615,3724
2021-11-13,44163.0,1655,3947
2021-11-20,47076.0,2284,3823
2021-11-27,43324.0,2293,3976
2021-12-04,52729.0,2389,4714
2021-12-11,55069.0,3037,4711
2021-12-18,62545.0,3668,3926
2021-12-25,79225.0,4234,5633
2022-01-01,113862.0,4137,6534
2022-01-08,93262.0,3213,7707
2022-01-15,69183.0,2996,6492
2022-01-22,48498.0,2266,5164
2022-01-29,34810.0,2053,5176
2022-02-05,25831.0,1729,3787
2022-02-12,23731.0,1570,2827
2022-02-19,23946.0,1536,2747
2022-02-26,23609.0,1680,2584
2022-03-05,25801.0,1636,3291
2022-03-12,28077.0,1902,3128
2022-03-19,31359.0,1798,3092
2022-03-26,32423.0,1927,3498
2022-04-02,34822.0,1928,3580
2022-04-09,38144.0,2118,3514
2022-04-16,40966.0,2252,3783
2022-04-23,42086.0,2152,3268
2022-04-30,43420.0,2134,3599
2022-05-07,47799.0,2149,3979
2022-05-14,52025.0,2312,4371
2022-05-21,54081.0,2354,4330
2022-05-28,52385.0,2208,4385
2022-06-04,51863.0,2195,4196
2022-06-11,45240.0,2136,5286
2022-06-18,40250.0,1667,3842
2022-06-25,37830.0,1679,3765
2022-07-02,34566.0,1266,3119
2022-07-09,34983.0,1941,3581
2022-07-16,33011.0,1857,3213
2022-07-23,32611.0,1780,3158
2022-07-30,32040.0,1670,3212
2022-08-06,29641.0,1654,2715
2022-08-13,28642.0,1601,3077
2022-08-20,31572.0,1491,2927
2022-08-27,35787.0,1577,1902
2022-09-03,37513.0,1604,2446
2022-09-10,38334.0,2059,2503
2022-09-17,39838.0,1853,2873
2022-09-24,44726.0,2018,3454
2022-10-01,46321.0,2097,4302
2022-10-08,57318.0,2286,4108
2022-10-15,63388.0,2484,4256
2022-10-22,75615.0,2694,4923
2022-10-29,109496.0,3244,5438
2022-11-05,139247.0,4070,6295
2022-11-12,140055.0,4434,5847
2022-11-19,137419.0,4493,8771
2022-11-26,164936.0,5036,9016
2022-12-03,185673.0,6061,12677
2022-12-10,167248.0,5653,11707
2022-12-17,151672.0,4335,10176
2022-12-24,129978.0,4585,7927
2022-12-31,112531.0,4529,9623
2023-01-07,92034.0,4514,8227
2023-01-14,67720.0,3764,6355
2023-01-21,57770.0,3616,5568
2023-01-28,58231.0,3660,5721
2023-02-04,59326.0,3221,6726
2023-02-11,62258.0,3147,7063
2023-02-18,59665.0,3122,6805
2023-02-25,57223.0,2768,5984
2023-03-04,55682.0,2752,5943
2023-03-11,54686.0,3208,5819
2023-03-18,54263.0,2853,6012
2023-03-25,55394.0,2485,5781
2023-04-01,53342.0,2359,5515
2023-04-08,48355.0,2149,4839
2023-04-15,46725.0,1997,4477
2023-04-22,44507.0,1550,4302
2023-04-29,44802.0,1506,3895
2023-05-06,45582.0,1525,4049
2023-05-13,45769.0,1959,3719
2023-05-20,43287.0,1867,3855
2023-05-27,41516.0,1662,3556
2023-06-03,41589.0,1548,3539
2023-06-10,36939.0,1506,2700
2023-06-17,33880.0,1150,2834
2023-06-24,30889.0,1030,2660
2023-07-01,28486.0,957,2639
2023-07-08,26648.0,1191,2495
2023-07-15,25903.0,1261,2620
2023-07-22,25802.0,1290,2704
2023-07-29,26417.0,1188,2632
2023-08-05,26896.0,1339,2821
2023-08-12,29313.0,1443,2834
2023-08-19,33663.0,1506,2913
2023-08-26,40979.0,1639,3036
2023-09-02,44411.0,2063,3300
2023-09-09,44734.0,2322,3580
2023-09-16,45287.0,2309,4262
2023-09-23,48265.0,2491,4935
2023-09-30,49269.0,2597,5579
2023-10-07,56312.0,2579,5724
2023-10-14,57524.0,2423,5767
2023-10-21,62503.0,2499,5721
2023-10-28,67635.0,2559,5636
2023-11-04,72231.0,2513,5664
2023-11-11,85459.0,2904,5868
2023-11-18,90948.0,3137,7104
2023-11-25,85524.0,3025,7105
2023-12-02,103712.0,3705,8258
2023-12-09,114141.0,3786,8305
2023-12-16,135998.0,4320,8320
2023-12-23,163265.0,4949,9129
2023-12-30,166750.0,5517,8930
2024-01-06,143938.0,5113,10120
2024-01-13,118459.0,4772,9412
2024-01-20,100098.0,3871,8518
2024-01-27,105571.0,4149,8138
2024-02-03,107922.0,4104,7848
2024-02-10,112968.0,4078,7683
2024-02-17,108366.0,4029,7525
2024-02-24,107566.0,4122,7751
2024-03-02,104864.0,4009,7560
2024-03-09,94742.0,3775,7111
2024-03-16,84963.0,3438,7410
2024-03-23,78618.0,3322,7115
2024-03-30,73845.0,3183,6673
2024-04-06,68526.0,3081,6324
2024-04-13,64449.0,2654,5684
2024-04-20,57522.0,2431,5773
2024-04-27,55413.0,2403,5737
2024-05-04,53519.0,2179,5541
2024-05-11,50457.0,2324,5232
2024-05-18,49254.0,1989,5410
2024-05-25,47562.0,1887,5661
2024-06-01,44766.0,1843,4865
2024-06-08,41248.0,1760,4768
2024-06-15,37720.0,1715,4872
2024-06-22,35781.0,1570,4363
2024-06-29,35208.0,1609,3867
2024-07-06,32093.0,1686,3498
2024-07-13,34982.0,1829,3797
2024-07-20,33474.0,1851,3585
2024-07-27,34749.0,1918,3710
2024-08-03,34935.0,2119,3797
2024-08-10,34912.0,2445,3391
2024-08-17,35347.0,2759,3658
